id,filename,artist,title,year
455,00455.jpeg,Nicole Vicencio,Monochromatic Compositions,2013
456,00456.jpeg,Karishma Sheth,Cool-Aid Paper,2013
457,00457.jpeg,Jurgen Bey,Garden Bench,1999
458,00458.jpeg,Gerrit Rietveld,Schroder House,1924
459,00459.jpeg,Jop Van Bennekom,Re-Magazine #4,2000
460,00460.jpeg,Urs Fischer,Shopping Cart And Ducky,2010
461,00461.jpeg,Urs Fischer,Cuntface,2012
462,00462.jpeg,Urs Fischer,Untitled,2009
463,00463.jpeg,Urs Fischer,Tisch Mit,2001
464,00464.jpeg,Urs Fischer,I Can Smell Our Words,2002
465,00465.jpeg,Urs Fischer,Lie To A Dog,2005
466,00466.jpeg,Paula Scher,Tile Wall In Cafeteria,2013
467,00467.jpeg,Andy Goldsworthy,Limestone Corner Cones,1993
468,00468.jpeg,Andy Goldsworthy,"Wet Sand Cupped, Squeezed, Thrown Out Of Water",1991
469,00469.jpeg,Andy Goldsworthy,Cleanly Broken Pebbles,1987
470,00470.jpeg,Andy Goldsworthy,Clay-Covered Rocks,1992
471,00471.jpeg,Andy Goldsworthy,Peat Rubbed Into Rocks,1990
472,00472.jpeg,Bennet William,Pangaea,2018
473,00473.jpeg,Bennet William,Big Bad Party,2018
474,00474.jpeg,Bennet William,Sirens,2018
475,00475.jpeg,Bennet William,Lace,2018
476,00476.jpeg,Bennet William,Laughter,2018
477,00477.jpeg,Herbert Hirche,Television Set,1958
478,00478.jpeg,Dieter Rams,Lautsprecher,1958
479,00479.jpeg,Milton Glaser,Hologram Shadow,1977
480,00480.jpeg,Milton Glaser,Sva Poster,1967
481,00481.jpeg,Milton Glaser,Somday Computers Will Talk,1971
482,00482.jpeg,Sagmeister,Bmw Culture,2011
483,00483.jpeg,Sagmeister,Banana-Wall,2011
484,00484.jpeg,Sagmeister,Sagmeister-Ausstellung In Mak,2011
485,00485.jpeg,Maison Martin Margiela,The Alphabet,2001
486,00486.jpeg,Maison Martin Margiela,The Alphabulous: A Is For Animal,2006
487,00487.jpeg,Maison Martin Margiela,The Alphabulous: Z Is For Zeitgeist,2006
488,00488.jpeg,Maison Martin Margiela,M/Mink Advertising Campaign,2010
489,00489.jpeg,Maison Martin Margiela,Zidane'S Monogram,2006
490,00490.jpeg,Batia Suter,Radical Grammar Pg.165,1970
491,00491.jpeg,Batia Suter,Radical Grammar Pg.18,1970
492,00492.jpeg,Batia Suter,Radical Grammar Pg. 61,1970
493,00493.jpeg,Batia Suter,Radical Grammar Pg. 180,1970
494,00494.jpeg,Batia Suter,Radical Grammar Pg. 189,1970
495,00495.jpeg,Batia Suter,Radical Grammar Pg. 196,1970
496,00496.jpeg,Ladislav Sutnar,Cuna Engineering Corporation Catalog,1946
497,00497.jpeg,Paula Scher,"Fucking A, A Contemporary Take On The Scarlet Letter",2002
498,00498.jpeg,Ruedi Külling,Bic Biros,1970
499,00499.jpeg,Michael Schwab,Golden Gate National Parks Poster,1996
500,00500.jpeg,Michael Schwab,Golden Gate National Parks Poster,1996
501,00501.jpeg,Michael Schwab,Golden Gate National Parks Poster,1996
502,00502.jpeg,Jock Kinneir,Sex In Society,1964
503,00503.jpeg,Denise York,"Rhinocerous, The Chairs, The Lesson",1967
504,00504.jpeg,Germano Facetti,The Stagnant Society,1964
505,00505.jpeg,"Eduardo Terrazas, Pedro Ramirez Vásquez",Mexico 68,1968
506,00506.jpeg,Superflex,Superflex Biogas In Africa,1997
507,00507.jpeg,Superflex,Lacoste,2002
508,00508.jpeg,Tim Walker,Photo Booth Snapshots,1979
509,00509.jpeg,Tim Walker,Boys And Red Mini-Cooper,1997
510,00510.jpeg,Tim Walker,Gingerbread Boy,1995
511,00511.jpeg,Tim Walker,Grasshopper,1997
512,00512.jpeg,Tim Walker,Siobhan Finnigan,1998
513,00513.jpeg,Tim Walker,Delaine Le Bas,1998
514,00514.jpeg,Tim Walker,Caravan Life,2004
515,00515.jpeg,Tim Walker,Caravan Life,2004
516,00516.jpeg,Tim Walker,Animal Sanctuary,2000
517,00517.jpeg,Tim Walker,Elisabeth Moses,1999
518,00518.jpeg,Tim Walker,Nicholas Robinson And Rope Lights,2008
519,00519.jpeg,Tim Walker,Erin O'Connor And Mirrored Geese,2004
520,00520.jpeg,Tim Walker,"Page From Scrapbook ""Vogue Pantomime""",2004
521,00521.jpeg,Tim Walker,Lily Cole,2005
